,,price,area,Price_sqft,price^2,x.y,x2.y,
223,,5200000,1140,4561.403509,2.704E+13,5928000000,23719298246,
224,,8000000,1325,6037.735849,6.4E+13,10600000000,48301886792,
225,,7650000,997,7673.019057,5.85225E+13,7627050000,58698595787,
226,,5500000,1100,5000,3.025E+13,6050000000,27500000000,
227,,5400000,1405,3843.41637,2.916E+13,7587000000,20754448399,
228,,8500000,1775,4788.732394,7.225E+13,15087500000,40704225352,
229,,6000000,1000,6000,3.6E+13,6000000000,36000000000,
230,,17500000,1658,10554.8854,3.0625E+14,29015000000,1.8471E+11,
231,,2450000,630,3888.888889,6.0025E+12,1543500000,9527777778,
232,,7300000,1742,4190.585534,5.329E+13,12716600000,30591274397,
233,,14500000,1650,8787.878788,2.1025E+14,23925000000,1.27424E+11,
234,,4800000,950,5052.631579,2.304E+13,4560000000,24252631579,
235,,4200000,800,5250,1.764E+13,3360000000,22050000000,
236,,12800000,1472,8695.652174,1.6384E+14,18841600000,1.11304E+11,
237,,27500000,2250,12222.22222,7.5625E+14,61875000000,3.36111E+11,
238,,12000000,1850,6486.486486,1.44E+14,22200000000,77837837838,
239,,7500000,900,8333.333333,5.625E+13,6750000000,62500000000,
240,,3500000,1050,3333.333333,1.225E+13,3675000000,11666666667,
241,,3850000,720,5347.222222,1.48225E+13,2772000000,20586805556,
242,,8000000,1550,5161.290323,6.4E+13,12400000000,41290322581,
243,,4350000,1300,3346.153846,1.89225E+13,5655000000,14555769231,
244,,9000000,1536,5859.375,8.1E+13,13824000000,52734375000,
245,,5000000,1285,3891.050584,2.5E+13,6425000000,19455252918,
246,,5800000,1350,4296.296296,3.364E+13,7830000000,24918518519,
247,,4200000,1335,3146.067416,1.764E+13,5607000000,13213483146,
248,,8900000,1000,8900,7.921E+13,8900000000,79210000000,
249,,9500000,1811,5245.720596,9.025E+13,17204500000,49834345665,
250,,4600000,1175,3914.893617,2.116E+13,5405000000,18008510638,
251,,20000000,1700,11764.70588,4E+14,34000000000,2.35294E+11,
252,,2900000,554,5234.65704,8.41E+12,1606600000,15180505415,
253,,13500000,1500,9000,1.8225E+14,20250000000,1.215E+11,
254,,4000000,1250,3200,1.6E+13,5000000000,12800000000,
255,,28000000,2200,12727.27273,7.84E+14,61600000000,3.56364E+11,
256,,4000000,850,4705.882353,1.6E+13,3400000000,18823529412,
257,,8000000,1000,8000,6.4E+13,8000000000,64000000000,
258,,12900000,1400,9214.285714,1.6641E+14,18060000000,1.18864E+11,
259,,9000000,1325,6792.45283,8.1E+13,11925000000,61132075472,
260,,3200000,840,3809.52381,1.024E+13,2688000000,12190476190,
261,,4100000,1065,3849.765258,1.681E+13,4366500000,15784037559,
262,,7000000,1585,4416.403785,4.9E+13,11095000000,30914826498,
263,,45000000,2700,16666.66667,2.025E+15,1.215E+11,7.5E+11,
264,,7500000,1515,4950.49505,5.625E+13,11362500000,37128712871,
265,,7100000,900,7888.888889,5.041E+13,6390000000,56011111111,
266,,7000000,1135,6167.400881,4.9E+13,7945000000,43171806167,
267,,8000000,1500,5333.333333,6.4E+13,12000000000,42666666667,
268,,60000000,5000,12000,3.6E+15,3E+11,7.2E+11,
269,,5450000,1470,3707.482993,2.97025E+13,8011500000,20205782313,
270,,22000000,2700,8148.148148,4.84E+14,59400000000,1.79259E+11,
271,,15000000,2275,6593.406593,2.25E+14,34125000000,98901098901,
272,,4900000,1475,3322.033898,2.401E+13,7227500000,16277966102,
273,,12800000,1837,6967.882417,1.6384E+14,23513600000,89188894937,
274,,18000000,2400,7500,3.24E+14,43200000000,1.35E+11,
275,,9000000,1950,4615.384615,8.1E+13,17550000000,41538461538,
276,,14500000,1935,7493.540052,2.1025E+14,28057500000,1.08656E+11,
277,,32500000,2400,13541.66667,1.05625E+15,78000000000,4.40104E+11,
278,,26000000,2430,10699.58848,6.76E+14,63180000000,2.78189E+11,
279,,5900000,995,5929.648241,3.481E+13,5870500000,34984924623,
280,,4800000,1000,4800,2.304E+13,4800000000,23040000000,
281,,12000000,1983,6051.437216,1.44E+14,23796000000,72617246596,
282,,7800000,1295,6023.166023,6.084E+13,10101000000,46980694981,
283,,7000000,1820,3846.153846,4.9E+13,12740000000,26923076923,
284,,3500000,800,4375,1.225E+13,2800000000,15312500000,
285,,10800000,1895,5699.208443,1.1664E+14,20466000000,61551451187,
286,,9200000,1000,9200,8.464E+13,9200000000,84640000000,
287,,10000000,1800,5555.555556,1E+14,18000000000,55555555556,
288,,4800000,1487,3227.97579,2.304E+13,7137600000,15494283793,
289,,17500000,2400,7291.666667,3.0625E+14,42000000000,1.27604E+11,
290,,13500000,2300,5869.565217,1.8225E+14,31050000000,79239130435,
291,,8500000,1545,5501.618123,7.225E+13,13132500000,46763754045,
292,,4500000,1000,4500,2.025E+13,4500000000,20250000000,
293,,15800000,2300,6869.565217,2.4964E+14,36340000000,1.08539E+11,
294,,32500000,1829,17769.27283,1.05625E+15,59442500000,5.77501E+11,
295,,6900000,1362,5066.079295,4.761E+13,9397800000,34955947137,
296,,9000000,1380,6521.73913,8.1E+13,12420000000,58695652174,
297,,2500000,560,4464.285714,6.25E+12,1400000000,11160714286,
298,,29500000,3000,9833.333333,8.7025E+14,88500000000,2.90083E+11,
299,,2200000,900,2444.444444,4.84E+12,1980000000,5377777778,
300,,14800000,2050,7219.512195,2.1904E+14,30340000000,1.06849E+11,
301,,47500000,4600,10326.08696,2.25625E+15,2.185E+11,4.90489E+11,
302,,9500000,1775,5352.112676,9.025E+13,16862500000,50845070423,
303,,2950000,1050,2809.52381,8.7025E+12,3097500000,8288095238,
304,,2550000,675,3777.777778,6.5025E+12,1721250000,9633333333,
305,,4500000,1162,3872.633391,2.025E+13,5229000000,17426850258,
306,,3480000,700,4971.428571,1.21104E+13,2436000000,17300571429,
307,,5400000,1160,4655.172414,2.916E+13,6264000000,25137931034,
308,,7200000,2095,3436.754177,5.184E+13,15084000000,24744630072,
309,,4760000,1190,4000,2.26576E+13,5664400000,19040000000,
310,,3200000,810,3950.617284,1.024E+13,2592000000,12641975309,
311,,10500000,1695,6194.690265,1.1025E+14,17797500000,65044247788,
312,,3900000,825,4727.272727,1.521E+13,3217500000,18436363636,
313,,12500000,1850,6756.756757,1.5625E+14,23125000000,84459459459,
314,,6960000,1340,5194.029851,4.84416E+13,9326400000,36150447761,
315,,2750000,850,3235.294118,7.5625E+12,2337500000,8897058824,
316,,35000000,8500,4117.647059,1.225E+15,2.975E+11,1.44118E+11,
317,,7700000,1380,5579.710145,5.929E+13,10626000000,42963768116,
318,,6000000,1300,4615.384615,3.6E+13,7800000000,27692307692,
319,,6000000,1000,6000,3.6E+13,6000000000,36000000000,
320,,4500000,1000,4500,2.025E+13,4500000000,20250000000,
321,,6000000,1350,4444.444444,3.6E+13,8100000000,26666666667,
322,,8500000,1380,6159.42029,7.225E+13,11730000000,52355072464,
323,,7500000,1170,6410.25641,5.625E+13,8775000000,48076923077,
324,,4600000,936,4914.529915,2.116E+13,4305600000,22606837607,
325,,5500000,1646,3341.433779,3.025E+13,9053000000,18377885784,
326,,5500000,1000,5500,3.025E+13,5500000000,30250000000,
327,,6690000,1625,4116.923077,4.47561E+13,10871250000,27542215385,
328,,4500000,800,5625,2.025E+13,3600000000,25312500000,
329,,7600000,1534,4954.367666,5.776E+13,11658400000,37653194263,
330,,9000000,1675,5373.134328,8.1E+13,15075000000,48358208955,
331,,2450000,710,3450.704225,6.0025E+12,1739500000,8454225352,
332,,5400000,1290,4186.046512,2.916E+13,6966000000,22604651163,
333,,9700000,1758,5517.633675,9.409E+13,17052600000,53521046644,
334,,8500000,1569,5417.463352,7.225E+13,13336500000,46048438496,
335,,8000000,1488,5376.344086,6.4E+13,11904000000,43010752688,
336,,4200000,1245,3373.493976,1.764E+13,5229000000,14168674699,
